Project,OGA_NAPFD,AGA_NAPFD,GA_NAPFD,NAPFD_Diff% (OGA-GA),OGA_PFD@25%,AGA_PFD@25%,GA_PFD@25%,PFD@25%_Diff% (OGA-GA)
S1 LastCalc-0.1_(32 TS),0.8013,0.8013,0.8061✓,-0.60%,0.6683✓,0.6683✓,0.6683✓,0.00%
S2 lanterna (34 TS),0.8553,0.8569,0.8599✓,-0.53%,0.8198✓,0.8198✓,0.8198✓,0.00%
S3 gdx-artemis-master (35 TS),0.8870,0.8898✓,0.8897,-0.30%,0.8803✓,0.8803✓,0.8803✓,0.00%
S4 gson-fire (36 TS),0.8390,0.8380,0.8402✓,-0.14%,0.7346✓,0.7346✓,0.7288,0.80%
S5 restcountries (40 TS),0.7939,0.7939,0.7972✓,-0.41%,0.6814✓,0.6814✓,0.6814✓,0.00%
S6 redline-smalltalk-master (43 TS),0.9860✓,0.9858,0.9855,0.05%,0.9980✓,0.9980✓,0.9980✓,0.00%
S7 java-uuid-generator (45 TS),0.9059,0.9059,0.9060✓,-0.01%,0.9249✓,0.9249✓,0.9249✓,0.00%
S8 gson-fire-new (47 TS),0.8861✓,0.8848,0.8827,0.39%,0.8861✓,0.8861✓,0.8812,0.56%
S9 low-gc-membuffers (51 TS),0.9028,0.9028,0.9036✓,-0.09%,0.9103✓,0.9103✓,0.9103✓,0.00%
S10 DiskLruCache (61 TS),0.9053,0.9070,0.9118✓,-0.71%,0.8355,0.8487✓,0.8487✓,-1.56%
S11 JActor (65 TS),0.8635✓,0.8615,0.8593,0.49%,0.7143✓,0.7143✓,0.7143✓,0.00%
S12 nv-websocket-client (73 TS),0.9615,0.9614,0.9616✓,-0.01%,0.9819,0.9819,0.9856✓,-0.38%
S13 jackson-datatype-guava ( 73 TS),0.8767✓,0.8766,0.8740,0.31%,0.8296✓,0.8296✓,0.8296✓,0.00%
S14 jackson-datatype-guava-new (80 TS),0.8866✓,0.8864,0.8849,0.19%,0.8187✓,0.8187✓,0.8187✓,0.00%
S15 java-apns (87 TS),0.8527,0.8527,0.8546✓,-0.22%,0.8471,0.8471,0.8495✓,-0.28%
S16 ews-java-api (90 TS),0.8523,0.8517,0.8532✓,-0.11%,0.8917✓,0.8917✓,0.8900,0.19%
S17 scribe-java (99 TS),0.8582,0.8582,0.8624✓,-0.49%,0.8437,0.8437,0.8455✓,-0.21%
S18 jasmine-maven-plugin (102 TS),0.8101,0.8101,0.8120✓,-0.23%,0.7219,0.7219,0.7522✓,-4.03%
S19 jumblr (103 TS),0.8509✓,0.8509✓,0.8317,2.31%,0.8204✓,0.8204✓,0.7964,3.01%
S20 webbit (131 TS),0.8464,0.8441,0.8627✓,-1.89%,0.8080,0.8080,0.8304✓,-2.70%
S21 chukwa (131 TS),0.8006,0.8009,0.8017✓,-0.14%,0.6766✓,0.6766✓,0.6766✓,0.00%
S22 stream-lib (141 TS),0.8318,0.8328,0.8338✓,-0.24%,0.7738,0.7738,0.7785✓,-0.60%
S23 metrics-core (150 TS),0.8029,0.8031✓,0.7970,0.74%,0.7705✓,0.7705✓,0.7681,0.31%
S24 hivemall (150 TS),0.8459,0.8464,0.8475✓,-0.19%,0.7842✓,0.7842✓,0.7842✓,0.00%
S25 protoparser (171 TS),0.9511,0.9518✓,0.9514,-0.03%,0.9468✓,0.9468✓,0.9468✓,0.00%
S26 spring-retry (185 TS),0.9182,0.9188,0.9252✓,-0.76%,0.8917,0.9031,0.9373✓,-4.87%
S27 raml-java-parser-master (192 TS),0.9481,0.9490,0.9501✓,-0.21%,0.9432✓,0.9405,0.9414,0.19%
S28 raml-java-parser (197 TS),0.8910,0.8932,0.9599✓,-7.18%,0.8936,0.8944,0.9600✓,-6.92%
S29 asterisk-java (217 TS),0.8654,0.8656✓,0.8653,0.01%,0.8242,0.8292✓,0.8289,-0.57%
S30 asterisk-java-new (217 TS),0.8750✓,0.8750✓,0.8717,0.38%,0.8447✓,0.8447✓,0.8284,1.97%
S31 redline-smalltalk (240 TS),0.8332,0.8339✓,0.8324,0.10%,0.7767✓,0.7767✓,0.7767✓,0.00%
S32 lambdaj-master (265 TS),0.8837,0.9033,0.9038✓,-2.22%,0.8791,0.8911✓,0.8906,-1.29%
S33 commons-pool (272 TS),0.8185,0.8198✓,0.8122,0.78%,0.7599✓,0.7599✓,0.7488,1.48%
S34 javapoet (332 TS),0.9208✓,0.9183,0.9161,0.51%,0.9178,0.9178,0.9198✓,-0.22%
S35 jackson-core (376 TS),0.8923,0.8924✓,0.8910,0.15%,0.8473✓,0.8473✓,0.8460,0.15%
S36 OpenTripPlanner-otp-0.20.0 (379 TS),0.9511,0.9542✓,0.9537,-0.27%,0.9454,0.9454,0.9502✓,-0.51%
S37 hbase-1.2.2 (434 TS),0.8697,0.8710,0.8760✓,-0.72%,0.8574,0.8574,0.8709✓,-1.55%
S38 streamex (450 TS),0.8661,0.8662,0.8665✓,-0.05%,0.8100,0.8100,0.8105✓,-0.06%
S39 rome-1.5.0 (475 TS),0.9303,0.9371✓,0.8993,3.45%,0.9487✓,0.9176,0.8973,5.73%
S40 joss (531 TS),0.9138,0.9164,0.9194✓,-0.61%,0.8999,0.8999,0.9131✓,-1.45%
S41 commons-dbcp (560 TS),0.9390,0.9467✓,0.9318,0.77%,0.9573,0.9681✓,0.9577,-0.04%
S42 la4j (625 TS),0.8244,0.8401✓,0.7479,10.23%,0.7814✓,0.7428,0.6755,15.68%
S43 jsoup (666 TS),0.7932,0.7939,0.9223✓,-14.00%,0.7821,0.7821,0.9143✓,-14.46%
S44languagetool (719 TS),0.8623,0.8671,0.8692✓,-0.79%,0.7720,0.7720,0.8527✓,-9.46%
S45 jopt-simple (727 ST),0.9113,0.9144✓,0.9131,-0.20%,0.8736,0.8772✓,0.8742,-0.07%
S46 la4j-new (799 TS),0.9461,0.9426,0.9470✓,-0.10%,0.9268,0.9306,0.9331✓,-0.68%
S47 blueflood (961 TS),0.9081,0.9106✓,0.9103,-0.24%,0.8862,0.8862,0.8878✓,-0.18%
S48commons-io (1081 TS),0.8904,0.8911,0.8915✓,-0.12%,0.8734,0.8708,0.8757✓,-0.26%
S49 vraptor_archive (1130 TS),0.8663✓,0.8657,0.8608,0.64%,0.8243✓,0.8235,0.8195,0.59%
S50 RoaringBitmap (1148 TS),0.9235,0.9244,0.9247✓,-0.13%,0.9155,0.9154,0.9248✓,-1.01%
S51 jsprit (1250 TS),0.9162,0.9240,0.9265✓,-1.11%,0.8981,0.9085,0.9202✓,-2.40%
S52 mapdb-mapdb-1.0.9 (1776 TS),0.9516,0.9545,0.9700✓,-1.90%,0.9783,0.9783,0.9852✓,-0.70%
S53 assertj-core (2470 TS),0.8507✓,0.8507✓,0.8507✓,0.00%,0.7677✓,0.7677✓,0.7661,0.21%
S54 camel-core (5623 TS),0.9516,0.9544✓,0.9542,-0.27%,0.9562,0.9573,0.9623✓,-0.63%