Project,OGA_Time,AGA_Time,GA_Time,OGA_Time_Reduction%,OGA_APFD,AGA_APFD,GA_APFD,OGA_APFD_Diff%
S1 LastCalc-0.1_(32 TS),0.0021✓,0.0215,0.0346,93.93%,0.8013,0.8013,0.8061✓,-0.60%
S2 lanterna (34 TS),0.0005✓,0.0092,0.0030,83.33%,0.8553,0.8569,0.8599✓,-0.53%
S3 gdx-artemis-master (35 TS),0.0007✓,0.0066,0.0108,93.52%,0.8870,0.8898✓,0.8897,-0.30%
S4 gson-fire (36 TS),0.0006✓,0.0023,0.0037,83.78%,0.8390,0.8380,0.8402✓,-0.14%
S5 restcountries (40 TS),0.0005✓,0.0052,0.0013,61.54%,0.7939,0.7939,0.7972✓,-0.41%
S6 redline-smalltalk-master (43 TS),0.0008✓,0.0070,0.0092,91.30%,0.9860✓,0.9858,0.9855,0.05%
S7 java-uuid-generator (45 TS),0.0006✓,0.0025,0.0026,76.92%,0.9059,0.9059,0.9060✓,-0.01%
S8 gson-fire-new (47 TS),0.0007✓,0.0023,0.0032,78.12%,0.8861✓,0.8848,0.8827,0.39%
S9 low-gc-membuffers (51 TS),0.0014✓,0.0156,0.0140,90.00%,0.9028,0.9028,0.9036✓,-0.09%
S10 DiskLruCache (61 TS),0.0010✓,0.0058,0.0082,87.80%,0.9053,0.9070,0.9118✓,-0.71%
S11 JActor (65 TS),0.0018✓,0.0126,0.0145,87.59%,0.8635✓,0.8615,0.8593,0.49%
S12 nv-websocket-client (73 TS),0.0008✓,0.0067,0.0039,79.49%,0.9615,0.9614,0.9616✓,-0.01%
S13 jackson-datatype-guava ( 73 TS),0.0019✓,0.2254,0.0438,95.66%,0.8767✓,0.8766,0.8740,0.31%
S14 jackson-datatype-guava-new (80 TS),0.0013✓,0.0193,0.0071,81.69%,0.8866✓,0.8864,0.8849,0.19%
S15 java-apns (87 TS),0.0011✓,0.0033,0.0104,89.42%,0.8527,0.8527,0.8546✓,-0.22%
S16 ews-java-api (90 TS),0.0014✓,0.0147,0.0025,44.00%,0.8523,0.8517,0.8532✓,-0.11%
S17 scribe-java (99 TS),0.0013✓,0.0020,0.0085,84.71%,0.8582,0.8582,0.8624✓,-0.49%
S18 jasmine-maven-plugin (102 TS),0.0014✓,0.0016,0.0091,84.62%,0.8101,0.8101,0.8120✓,-0.23%
S19 jumblr (103 TS),0.0012✓,0.0039,0.0043,72.09%,0.8509✓,0.8509,0.8317,2.31%
S20 webbit (131 TS),0.0021✓,0.0086,0.0174,87.93%,0.8665✓,0.8642,0.8627,0.44%
S21 chukwa (131 TS),0.0036✓,0.0223,0.0574,93.73%,0.8006,0.8009,0.8017✓,-0.14%
S22 stream-lib (141 TS),0.0025✓,0.0090,0.0309,91.91%,0.8318,0.8328,0.8338✓,-0.24%
S23 metrics-core (150 TS),0.0018✓,0.0045,0.0221,91.86%,0.8029,0.8031✓,0.7970,0.74%
S24 hivemall (150 TS),0.0038✓,0.0306,0.0603,93.70%,0.8459,0.8464,0.8475✓,-0.19%
S25 protoparser (171 TS),0.0032✓,0.0114,0.0310,89.68%,0.9511,0.9518✓,0.9514,-0.03%
S26 spring-retry (185 TS),0.0029✓,0.0158,0.0306,90.52%,0.9182,0.9188,0.9252✓,-0.76%
S27 raml-java-parser-master (192 TS),0.0231✓,0.9165,4.3732,99.47%,0.9481,0.9490,0.9501✓,-0.21%
S28 raml-java-parser (197 TS),0.0120✓,0.2007,0.2174,94.48%,0.9595,0.9617✓,0.9599,-0.04%
S29 asterisk-java (217 TS),0.0038✓,0.0355,0.1564,97.57%,0.8654,0.8656✓,0.8653,0.01%
S30 asterisk-java-new (217 TS),0.0032✓,0.0247,0.0419,92.36%,0.8750✓,0.8750,0.8717,0.38%
S31 redline-smalltalk (240 TS),0.0033✓,0.0090,0.0235,85.96%,0.8332,0.8339✓,0.8324,0.10%
S32 lambdaj-master (265 TS),0.0139✓,0.2711,1.1922,98.83%,0.8837,0.9033,0.9038✓,-2.22%
S33 commons-pool (272 TS),0.0069✓,0.0361,0.1753,96.06%,0.8185,0.8198✓,0.8122,0.78%
S34 javapoet (332 TS),0.0088✓,0.0530,0.2537,96.53%,0.9208✓,0.9183,0.9161,0.51%
S35 jackson-core (376 TS),0.0130✓,0.0893,0.8861,98.53%,0.8923,0.8924✓,0.8910,0.15%
S36 OpenTripPlanner-otp-0.20.0 (379 TS),0.0143✓,0.1512,0.9369,98.47%,0.9511,0.9542✓,0.9537,-0.27%
S37 hbase-1.2.2 (434 TS),0.0093✓,0.0905,0.5008,98.14%,0.8697,0.8710,0.8760✓,-0.72%
S38 streamex (450 TS),0.0098✓,0.0337,0.3360,97.08%,0.8661,0.8662,0.8665✓,-0.05%
S39 rome-1.5.0 (475 TS),0.1674✓,10.3102,85.0716,99.80%,0.9303,0.9371✓,0.8993,3.45%
S40 joss (531 TS),0.0224✓,0.0433,0.3058,92.67%,0.9138,0.9164,0.9194✓,-0.61%
S41 commons-dbcp (560 TS),0.0180✓,0.1186,0.8217,97.81%,0.9390,0.9467✓,0.9318,0.77%
S42 la4j (625 TS),0.0131✓,0.4393,3.7145,99.65%,0.8244,0.8401✓,0.7479,10.23%
S43 jsoup (666 TS),0.0527✓,0.3347,3.4381,98.47%,0.9320,0.9328✓,0.9223,1.05%
S44languagetool (719 TS),0.0341✓,0.4255,4.4851,99.24%,0.8623,0.8671,0.8692✓,-0.79%
S45 jopt-simple (727 ST),0.0209✓,0.1276,1.0845,98.07%,0.9113,0.9144✓,0.9131,-0.20%
S46 la4j-new (799 TS),0.0252✓,0.1236,1.2054,97.91%,0.9461,0.9426,0.9470✓,-0.10%
S47 blueflood (961 TS),0.0194✓,0.0539,0.5491,96.47%,0.9081,0.9106✓,0.9103,-0.24%
S48commons-io (1081 TS),0.0230✓,0.0547,0.6201,96.29%,0.8904,0.8911,0.8915✓,-0.12%
S49 vraptor_archive (1130 TS),0.0267✓,0.0947,2.1342,98.75%,0.8663✓,0.8657,0.8608,0.64%
S50 RoaringBitmap (1148 TS),0.1119✓,0.1326,2.5613,95.63%,0.9235,0.9244,0.9247✓,-0.13%
S51 jsprit (1250 TS),0.0275✓,0.5800,3.9714,99.31%,0.9162,0.9240,0.9265✓,-1.11%
S52 mapdb-mapdb-1.0.9 (1776 TS),0.0766✓,0.9326,17.6727,99.57%,0.9516,0.9545,0.9700✓,-1.90%
S53 assertj-core (2470 TS),0.1217✓,0.1905,3.2755,96.28%,0.8507✓,0.8507,0.8507,0.00%
S54 camel-core (5623 TS),1.3135✓,7.5090,633.7886,99.79%,0.9516,0.9544✓,0.9542,-0.27%